index,time,freq,tau
114,2017-01-03 14:23:32.351000,2.1022094410e+08,3.5744345865e-04
115,2017-01-03 14:29:02.638000,2.1022051432e+08,2.9967596389e-04
116,2017-01-03 14:34:33.025000,2.1022115509e+08,4.3674362593e-04
117,2017-01-03 14:40:03.706000,2.1022105723e+08,3.0071473981e-04
118,2017-01-03 14:45:34.065000,2.1022183289e+08,3.3667571871e-04
119,2017-01-03 14:51:04.458000,2.1022175217e+08,2.8705511470e-04
120,2017-01-03 14:56:35.151000,2.1022191854e+08,3.3391743554e-04
121,2017-01-03 15:02:05.507000,2.1022209095e+08,3.8694812628e-04
122,2017-01-03 15:07:35.907000,2.1022180582e+08,3.0250924987e-04
123,2017-01-03 15:13:06.444000,2.1022212075e+08,3.5408986620e-04
124,2017-01-03 15:18:36.851000,2.1022203992e+08,4.0397275300e-04
125,2017-01-03 15:24:07.202000,2.1022223227e+08,3.0479368291e-04
126,2017-01-03 15:29:37.714000,2.1022182557e+08,3.2857627483e-04
127,2017-01-03 15:35:08.128000,2.1022218379e+08,3.7141390410e-04
128,2017-01-03 15:40:38.698000,2.1022178947e+08,2.5590806683e-04
129,2017-01-03 15:46:09.317000,2.1022168835e+08,3.1760542989e-04
130,2017-01-03 15:51:39.829000,2.1022192152e+08,3.3663580832e-04
131,2017-01-03 15:57:10.229000,2.1022597626e+08,3.8248995506e-04
132,2017-01-03 16:02:40.642000,2.1022607884e+08,4.3154633061e-04
133,2017-01-03 16:08:11.105000,2.1022588547e+08,3.2404408382e-04
134,2017-01-03 16:13:41.484000,2.1022569645e+08,4.7086070613e-04
135,2017-01-03 16:19:12.836000,2.1022570191e+08,3.7112209053e-04
136,2017-01-03 16:24:43.356000,2.1022437254e+08,3.2231797345e-04
137,2017-01-03 16:30:13.815000,2.1022484650e+08,3.8987456788e-04
138,2017-01-03 16:35:44.223000,2.1022523660e+08,3.7755621755e-04
139,2017-01-03 16:41:14.663000,2.1022510985e+08,3.5293487389e-04
140,2017-01-03 16:46:45.021000,2.1022425741e+08,3.6613985502e-04
141,2017-01-03 16:52:15.416000,2.1022434200e+08,3.2705232785e-04
142,2017-01-03 16:57:45.917000,2.1022425495e+08,3.4264013001e-04
143,2017-01-03 17:03:16.322000,2.1022549249e+08,2.8572067075e-04
144,2017-01-03 17:08:47.011000,2.1022542620e+08,3.6181869257e-04
145,2017-01-03 17:14:17.368000,2.1022509642e+08,3.4475742418e-04
146,2017-01-03 17:19:48.785000,2.1022492406e+08,3.2896242457e-04
147,2017-01-03 17:25:19.214000,2.1022494266e+08,3.3600769679e-04
148,2017-01-03 17:30:49.673000,2.1022463961e+08,2.8715911322e-04
149,2017-01-03 17:36:19.892000,2.1021911529e+08,3.2689243720e-04
150,2017-01-03 17:41:51.696000,2.1021942152e+08,3.3988021455e-04
151,2017-01-03 17:47:21.901000,2.1021932185e+08,4.0340928863e-04
152,2017-01-03 17:52:52.284000,2.1021899194e+08,4.3024008402e-04
153,2017-01-03 17:58:22.849000,2.1021883372e+08,3.1693215057e-04
154,2017-01-03 18:03:53.227000,2.1021897931e+08,4.2737877283e-04
155,2017-01-03 18:09:23.492000,2.1021886700e+08,3.7825019220e-04
156,2017-01-03 18:14:54.587000,2.1021834507e+08,2.9615245813e-04
157,2017-01-03 18:20:24.870000,2.1021866756e+08,3.8475298157e-04
158,2017-01-03 18:25:55.228000,2.1021859126e+08,4.2221366299e-04
159,2017-01-03 18:31:26.125000,2.1021868091e+08,3.5520605201e-04
160,2017-01-03 18:36:56.443000,2.1021874937e+08,3.9335791397e-04
161,2017-01-03 18:43:26.349000,2.1021862532e+08,2.9203568101e-04
162,2017-01-03 18:48:56.906000,2.1021866525e+08,3.3167163202e-04
163,2017-01-03 18:54:27.277000,2.1021762248e+08,3.9682259714e-04
164,2017-01-03 18:59:57.764000,2.1021816232e+08,3.8860692825e-04
165,2017-01-03 19:05:28.533000,2.1021823582e+08,3.8912401981e-04
166,2017-01-03 19:10:59.340000,2.1021837169e+08,3.3235158982e-04
167,2017-01-03 19:16:29.740000,2.1021864046e+08,3.3714828603e-04
168,2017-01-03 19:22:00.212000,2.1021833517e+08,3.6220301012e-04
169,2017-01-03 19:27:30.642000,2.1021789382e+08,3.6906692746e-04
170,2017-01-03 19:33:01.054000,2.1021777940e+08,3.7834794152e-04
171,2017-01-03 19:38:31.487000,2.1021830701e+08,2.9757332600e-04
172,2017-01-03 19:44:01.935000,2.1021816465e+08,2.8673583255e-04
173,2017-01-03 19:49:34.246000,2.1021869029e+08,4.1723791823e-04
174,2017-01-03 21:29:55.553000,2.1021630777e+08,3.6751295448e-04
175,2017-01-03 21:35:27.968000,2.1021676959e+08,4.1322170937e-04
176,2017-01-03 21:40:58.131000,2.1021699346e+08,4.1016751148e-04
177,2017-01-03 21:46:28.404000,2.1021724945e+08,3.8094637064e-04
178,2017-01-03 21:51:58.748000,2.1021710889e+08,3.5960589711e-04
179,2017-01-03 21:57:29.254000,2.1021689099e+08,3.5526513404e-04
180,2017-01-03 22:02:59.686000,2.1021697269e+08,3.2308734687e-04
181,2017-01-03 22:08:30.155000,2.1021698803e+08,3.4604373493e-04
182,2017-01-03 22:14:01.031000,2.1021719145e+08,3.4178211832e-04
183,2017-01-03 22:19:31.363000,2.1021718853e+08,4.2891694677e-04
184,2017-01-03 22:25:01.792000,2.1021750184e+08,3.6460391700e-04
185,2017-01-03 22:30:32.733000,2.1021719428e+08,4.1145310628e-04
186,2017-01-03 22:36:03.152000,2.1021713603e+08,3.4790507818e-04
187,2017-01-03 22:41:33.451000,2.1021679019e+08,3.0745273525e-04
